CompanyName,Year,Quarter,ScenarioName,IndicatorName,Amount
Company A,2023,Q4,Budget,Other Financial Income,0
Company A,2024,Q1,Budget,Other Financial Income,0
Company A,2024,Q2,Budget,Other Financial Income,0
Company A,2024,Q3,Budget,Other Financial Income,0
Company A,2024,Q4,Budget,Other Financial Income,0
Company A,2025,Q1,Budget,Other Financial Income,0
Company A,2025,Q2,Budget,Other Financial Income,0
Company A,2025,Q3,Budget,Other Financial Income,0
Company A,2025,Q4,Budget,Other Financial Income,0
Company A,2023,Q1,Budget,Financial Expenses,0
Company A,2023,Q2,Budget,Financial Expenses,0
Company A,2023,Q3,Budget,Financial Expenses,0
Company A,2023,Q4,Budget,Financial Expenses,0
Company A,2024,Q1,Budget,Financial Expenses,665
Company A,2024,Q2,Budget,Financial Expenses,2280
Company A,2024,Q3,Budget,Financial Expenses,6650
Company A,2024,Q4,Budget,Financial Expenses,9595
Company A,2025,Q1,Budget,Financial Expenses,4560
Company A,2025,Q2,Budget,Financial Expenses,0
Company A,2025,Q3,Budget,Financial Expenses,0
Company A,2025,Q4,Budget,Financial Expenses,0
Company A,2023,Q1,Budget,Other Expenses,500
Company A,2023,Q2,Budget,Other Expenses,500
Company A,2023,Q3,Budget,Other Expenses,500
Company A,2023,Q4,Budget,Other Expenses,500
Company A,2024,Q1,Budget,Other Expenses,500
Company A,2024,Q2,Budget,Other Expenses,500
Company A,2024,Q3,Budget,Other Expenses,500
Company A,2024,Q4,Budget,Other Expenses,500
Company A,2025,Q1,Budget,Other Expenses,500
Company A,2025,Q2,Budget,Other Expenses,500
Company A,2025,Q3,Budget,Other Expenses,500
Company A,2025,Q4,Budget,Other Expenses,500
Company A,2023,Q1,Budget,Other Income,0
Company A,2023,Q2,Budget,Other Income,0
Company A,2023,Q3,Budget,Other Income,0
Company A,2023,Q4,Budget,Other Income,0
Company A,2024,Q1,Budget,Other Income,0
Company A,2024,Q2,Budget,Other Income,0
Company A,2024,Q3,Budget,Other Income,0
Company A,2024,Q4,Budget,Other Income,0
Company A,2025,Q1,Budget,Other Income,0
Company A,2025,Q2,Budget,Other Income,0
Company A,2025,Q3,Budget,Other Income,0
Company A,2025,Q4,Budget,Other Income,0
Company A,2023,Q1,Budget,Profit Before Tax,32738.5925
Company A,2023,Q2,Budget,Profit Before Tax,50737.57165
Company A,2023,Q3,Budget,Profit Before Tax,53347.17825
Company A,2023,Q4,Budget,Profit Before Tax,46303.46279
Company A,2024,Q1,Budget,Profit Before Tax,67905.72265
Company A,2024,Q2,Budget,Profit Before Tax,62439.5894
Company A,2024,Q3,Budget,Profit Before Tax,71314.97399
Company A,2024,Q4,Budget,Profit Before Tax,40392.48932
Company A,2025,Q1,Budget,Profit Before Tax,96035.73845
Company A,2025,Q2,Budget,Profit Before Tax,88439.7239
Company A,2025,Q3,Budget,Profit Before Tax,66427.80009
Company A,2025,Q4,Budget,Profit Before Tax,103878.1503
Company A,2023,Q1,Budget,Income Tax,5892.946651
Company A,2023,Q2,Budget,Income Tax,9132.762897
Company A,2023,Q3,Budget,Income Tax,9602.492085
Company A,2023,Q4,Budget,Income Tax,8334.623301
Company A,2024,Q1,Budget,Income Tax,12223.03008
Company A,2024,Q2,Budget,Income Tax,11239.12609
Company A,2024,Q3,Budget,Income Tax,12836.69532
Company A,2024,Q4,Budget,Income Tax,7270.648078
Company A,2025,Q1,Budget,Income Tax,17286.43292
Company A,2025,Q2,Budget,Income Tax,15919.1503
Company A,2025,Q3,Budget,Income Tax,11957.00402
Company A,2025,Q4,Budget,Income Tax,18698.06705
Company A,2023,Q1,Budget,Net Profit,26845.64585
Company A,2023,Q2,Budget,Net Profit,41604.80875
Company A,2023,Q3,Budget,Net Profit,43744.68616
Company A,2023,Q4,Budget,Net Profit,37968.83948
Company A,2024,Q1,Budget,Net Profit,55682.69258
Company A,2024,Q2,Budget,Net Profit,51200.46331
Company A,2024,Q3,Budget,Net Profit,58478.27867
Company A,2024,Q4,Budget,Net Profit,33121.84125
Company A,2025,Q1,Budget,Net Profit,78749.30553
Company A,2025,Q2,Budget,Net Profit,72520.5736
Company A,2025,Q3,Budget,Net Profit,54470.79607
Company A,2025,Q4,Budget,Net Profit,85180.08324
Company A,2023,Q1,Budget,Change in Inventory,10000
Company A,2023,Q2,Budget,Change in Inventory,0
Company A,2023,Q3,Budget,Change in Inventory,0
Company A,2023,Q4,Budget,Change in Inventory,0
Company A,2024,Q1,Budget,Change in Inventory,20000
Company A,2024,Q2,Budget,Change in Inventory,0
Company A,2024,Q3,Budget,Change in Inventory,0
Company A,2024,Q4,Budget,Change in Inventory,30000
Company A,2025,Q1,Budget,Change in Inventory,0
Company A,2025,Q2,Budget,Change in Inventory,0
Company A,2025,Q3,Budget,Change in Inventory,0
Company A,2025,Q4,Budget,Change in Inventory,40000
Company A,2023,Q1,Budget,Change in Trade Receivables,0
Company A,2023,Q2,Budget,Change in Trade Receivables,0
Company A,2023,Q3,Budget,Change in Trade Receivables,0
Company A,2023,Q4,Budget,Change in Trade Receivables,40000
Company A,2024,Q1,Budget,Change in Trade Receivables,0
Company A,2024,Q2,Budget,Change in Trade Receivables,0
Company A,2024,Q3,Budget,Change in Trade Receivables,0
Company A,2024,Q4,Budget,Change in Trade Receivables,-30000
Company A,2025,Q1,Budget,Change in Trade Receivables,0
Company A,2025,Q2,Budget,Change in Trade Receivables,30000
Company A,2025,Q3,Budget,Change in Trade Receivables,0
Company A,2025,Q4,Budget,Change in Trade Receivables,0
Company A,2023,Q1,Budget,Change in Trade Payables,0
Company A,2023,Q2,Budget,Change in Trade Payables,0
Company A,2023,Q3,Budget,Change in Trade Payables,0
Company A,2023,Q4,Budget,Change in Trade Payables,0
Company A,2024,Q1,Budget,Change in Trade Payables,0
Company A,2024,Q2,Budget,Change in Trade Payables,0
Company A,2024,Q3,Budget,Change in Trade Payables,-30000
Company A,2024,Q4,Budget,Change in Trade Payables,0
Company A,2025,Q1,Budget,Change in Trade Payables,0
Company A,2025,Q2,Budget,Change in Trade Payables,0
Company A,2025,Q3,Budget,Change in Trade Payables,0
Company A,2025,Q4,Budget,Change in Trade Payables,0
Company A,2023,Q1,Budget,Operating Cash Flow,30677.35053
Company A,2023,Q2,Budget,Operating Cash Flow,50711.8621
Company A,2023,Q3,Budget,Operating Cash Flow,49611.92327
Company A,2023,Q4,Budget,Operating Cash Flow,3366.347399
Company A,2024,Q1,Budget,Operating Cash Flow,42348.06928
Company A,2024,Q2,Budget,Operating Cash Flow,53977.43323
Company A,2024,Q3,Budget,Operating Cash Flow,32239.15258
Company A,2024,Q4,Budget,Operating Cash Flow,35285.14593
Company A,2025,Q1,Budget,Operating Cash Flow,86478.65745
Company A,2025,Q2,Budget,Operating Cash Flow,40234.14068
Company A,2025,Q3,Budget,Operating Cash Flow,53551.64577
Company A,2025,Q4,Budget,Operating Cash Flow,48223.07922
Company A,2023,Q1,Budget,Capital Expenditures,14000
Company A,2023,Q2,Budget,Capital Expenditures,14000
Company A,2023,Q3,Budget,Capital Expenditures,14000
Company A,2023,Q4,Budget,Capital Expenditures,52000
Company A,2024,Q1,Budget,Capital Expenditures,52000
Company A,2024,Q2,Budget,Capital Expenditures,52000
Company A,2024,Q3,Budget,Capital Expenditures,52000
Company A,2024,Q4,Budget,Capital Expenditures,14000
Company A,2025,Q1,Budget,Capital Expenditures,14000
Company A,2025,Q2,Budget,Capital Expenditures,14000
Company A,2025,Q3,Budget,Capital Expenditures,14000
Company A,2025,Q4,Budget,Capital Expenditures,14000
Company A,2023,Q1,Budget,Cash Flow from Investing Activities,-14000
Company A,2023,Q2,Budget,Cash Flow from Investing Activities,-14000
Company A,2023,Q3,Budget,Cash Flow from Investing Activities,-14000
Company A,2023,Q4,Budget,Cash Flow from Investing Activities,-52000
Company A,2024,Q1,Budget,Cash Flow from Investing Activities,-52000
Company A,2024,Q2,Budget,Cash Flow from Investing Activities,-52000
Company A,2024,Q3,Budget,Cash Flow from Investing Activities,-52000
Company A,2024,Q4,Budget,Cash Flow from Investing Activities,-14000
Company A,2025,Q1,Budget,Cash Flow from Investing Activities,-14000
Company A,2025,Q2,Budget,Cash Flow from Investing Activities,-14000
Company A,2025,Q3,Budget,Cash Flow from Investing Activities,-14000
Company A,2025,Q4,Budget,Cash Flow from Investing Activities,-14000
Company A,2023,Q1,Budget,Charge in Share Capital,0
Company A,2023,Q2,Budget,Charge in Share Capital,0
Company A,2023,Q3,Budget,Charge in Share Capital,0
Company A,2023,Q4,Budget,Charge in Share Capital,0
Company A,2024,Q1,Budget,Charge in Share Capital,0
Company A,2024,Q2,Budget,Charge in Share Capital,0
Company A,2024,Q3,Budget,Charge in Share Capital,0
Company A,2024,Q4,Budget,Charge in Share Capital,0
Company A,2025,Q1,Budget,Charge in Share Capital,0
Company A,2025,Q2,Budget,Charge in Share Capital,0
Company A,2025,Q3,Budget,Charge in Share Capital,0
Company A,2025,Q4,Budget,Charge in Share Capital,0
Company A,2023,Q1,Budget,Target Financing,0
Company A,2023,Q2,Budget,Target Financing,0
Company A,2023,Q3,Budget,Target Financing,0
Company A,2023,Q4,Budget,Target Financing,0
Company A,2024,Q1,Budget,Target Financing,0
Company A,2024,Q2,Budget,Target Financing,0
Company A,2024,Q3,Budget,Target Financing,0
Company A,2024,Q4,Budget,Target Financing,0
Company A,2025,Q1,Budget,Target Financing,0
Company A,2025,Q2,Budget,Target Financing,0
Company A,2025,Q3,Budget,Target Financing,0
Company A,2025,Q4,Budget,Target Financing,0
Company A,2023,Q1,Budget,Loans from Shareholders,0
Company A,2023,Q2,Budget,Loans from Shareholders,0
Company A,2023,Q3,Budget,Loans from Shareholders,0
Company A,2023,Q4,Budget,Loans from Shareholders,0
Company A,2024,Q1,Budget,Loans from Shareholders,0
Company A,2024,Q2,Budget,Loans from Shareholders,0
Company A,2024,Q3,Budget,Loans from Shareholders,0
Company A,2024,Q4,Budget,Loans from Shareholders,0
Company A,2025,Q1,Budget,Loans from Shareholders,0
Company A,2025,Q2,Budget,Loans from Shareholders,0
Company A,2025,Q3,Budget,Loans from Shareholders,0
Company A,2025,Q4,Budget,Loans from Shareholders,0
Company A,2023,Q1,Budget,Prepayment of Sharholders Loans,0
Company A,2023,Q2,Budget,Prepayment of Sharholders Loans,0
Company A,2023,Q3,Budget,Prepayment of Sharholders Loans,0
Company A,2023,Q4,Budget,Prepayment of Sharholders Loans,0
Company A,2024,Q1,Budget,Prepayment of Sharholders Loans,0
Company A,2024,Q2,Budget,Prepayment of Sharholders Loans,0
Company A,2024,Q3,Budget,Prepayment of Sharholders Loans,0
Company A,2024,Q4,Budget,Prepayment of Sharholders Loans,0
Company A,2025,Q1,Budget,Prepayment of Sharholders Loans,0
Company A,2025,Q2,Budget,Prepayment of Sharholders Loans,0
Company A,2025,Q3,Budget,Prepayment of Sharholders Loans,0
Company A,2025,Q4,Budget,Prepayment of Sharholders Loans,0
Company A,2023,Q1,Budget,Proceeds from Borrowings,0
Company A,2023,Q2,Budget,Proceeds from Borrowings,0
Company A,2023,Q3,Budget,Proceeds from Borrowings,0
Company A,2023,Q4,Budget,Proceeds from Borrowings,0
Company A,2024,Q1,Budget,Proceeds from Borrowings,7000
Company A,2024,Q2,Budget,Proceeds from Borrowings,10000
Company A,2024,Q3,Budget,Proceeds from Borrowings,36000
Company A,2024,Q4,Budget,Proceeds from Borrowings,0
Company A,2025,Q1,Budget,Proceeds from Borrowings,0
Company A,2025,Q2,Budget,Proceeds from Borrowings,0
Company A,2025,Q3,Budget,Proceeds from Borrowings,0
Company A,2025,Q4,Budget,Proceeds from Borrowings,0
Company A,2023,Q1,Budget,Repayment of Borrowings,0
Company A,2023,Q2,Budget,Repayment of Borrowings,0
Company A,2023,Q3,Budget,Repayment of Borrowings,0
Company A,2023,Q4,Budget,Repayment of Borrowings,0
Company A,2024,Q1,Budget,Repayment of Borrowings,0
Company A,2024,Q2,Budget,Repayment of Borrowings,0
Company A,2024,Q3,Budget,Repayment of Borrowings,0
Company A,2024,Q4,Budget,Repayment of Borrowings,5000
Company A,2025,Q1,Budget,Repayment of Borrowings,48000
Company A,2025,Q2,Budget,Repayment of Borrowings,0
Company A,2025,Q3,Budget,Repayment of Borrowings,0
Company A,2025,Q4,Budget,Repayment of Borrowings,0
Company A,2023,Q1,Budget,Other,0
Company A,2023,Q2,Budget,Other,0
Company A,2023,Q3,Budget,Other,0
Company A,2023,Q4,Budget,Other,0
Company A,2024,Q1,Budget,Other,0
Company A,2024,Q2,Budget,Other,0
Company A,2024,Q3,Budget,Other,0
Company A,2024,Q4,Budget,Other,0
Company A,2025,Q1,Budget,Other,0
Company A,2025,Q2,Budget,Other,0
Company A,2025,Q3,Budget,Other,0
Company A,2025,Q4,Budget,Other,0
Company A,2023,Q1,Budget,Cash Flow from Financng Activities,0
Company A,2023,Q2,Budget,Cash Flow from Financng Activities,0
Company A,2023,Q3,Budget,Cash Flow from Financng Activities,0
Company A,2023,Q4,Budget,Cash Flow from Financng Activities,0
Company A,2024,Q1,Budget,Cash Flow from Financng Activities,7000
Company A,2024,Q2,Budget,Cash Flow from Financng Activities,10000
Company A,2024,Q3,Budget,Cash Flow from Financng Activities,36000
Company A,2024,Q4,Budget,Cash Flow from Financng Activities,-5000
Company A,2025,Q1,Budget,Cash Flow from Financng Activities,-48000
Company A,2025,Q2,Budget,Cash Flow from Financng Activities,0
Company A,2025,Q3,Budget,Cash Flow from Financng Activities,0
Company A,2025,Q4,Budget,Cash Flow from Financng Activities,0
Company A,2023,Q1,Budget,Net Cash Flow,16677.35053
Company A,2023,Q2,Budget,Net Cash Flow,36711.8621
Company A,2023,Q3,Budget,Net Cash Flow,35611.92327
Company A,2023,Q4,Budget,Net Cash Flow,-48633.6526
Company A,2024,Q1,Budget,Net Cash Flow,-2651.930724
Company A,2024,Q2,Budget,Net Cash Flow,11977.43323
Company A,2024,Q3,Budget,Net Cash Flow,16239.15258
Company A,2024,Q4,Budget,Net Cash Flow,16285.14593
Company A,2025,Q1,Budget,Net Cash Flow,24478.65745
Company A,2025,Q2,Budget,Net Cash Flow,26234.14068
Company A,2025,Q3,Budget,Net Cash Flow,39551.64577
Company A,2025,Q4,Budget,Net Cash Flow,34223.07922
Company A,2023,Q1,Budget,Closing Cash Balance,23701.58479
Company A,2023,Q2,Budget,Closing Cash Balance,60413.44689
Company A,2023,Q3,Budget,Closing Cash Balance,96025.37016
Company A,2023,Q4,Budget,Closing Cash Balance,47391.71756
Company A,2024,Q1,Budget,Closing Cash Balance,44739.78684
Company A,2024,Q2,Budget,Closing Cash Balance,56717.22007
Company A,2024,Q3,Budget,Closing Cash Balance,72956.37264
Company A,2024,Q4,Budget,Closing Cash Balance,89241.51857
Company A,2025,Q1,Budget,Closing Cash Balance,113720.176
Company A,2025,Q2,Budget,Closing Cash Balance,139954.3167
Company A,2025,Q3,Budget,Closing Cash Balance,179505.9625
Company A,2025,Q4,Budget,Closing Cash Balance,213729.0417
